rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3 0 1	False	False	False
rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq f6 0 2	False	False	False
rnbqkbnr/ppppp1pp/8/5p2/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2	False	False	False
rnbqkb1r/ppppp1pp/5n2/5p2/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 1 3	False	False	False
rnbqkb1r/ppppp1pp/5n2/5p2/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 2 3	False	False	False
rnbqkb1r/pppp2pp/5n2/4pp2/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq e6 0 4	False	False	False
rnbqkb1r/pppp2pp/5n2/4pp2/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 1 4	False	False	False
rnbqk2r/pppp2pp/5n2/4pp2/1bP5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5	False	False	False
rnbqk2r/pppp2pp/5n2/4pp2/1bP5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 3 5	False	False	False
rnbqk2r/pppp2pp/5n2/4pp2/2P5/2b2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6	False	False	False
